"source_id"	"author"	"title"	"pub_place"	"publisher"	"pub_date"	"gender"	"gender_guess"	"ethnicity"	"occupation"	"occupation_free"	"state_born"	"state_main"	"state_died"	"born"	"died"	"words"
"eaf001"	"Allston, Washington"	"Monaldi"	"Boston"	"C. C. Little and J. Brown"	1841	"M"	0	"White"	"Arts"	"Painter"	"SC"	"MA"	"MA"	1779	1843	47541
"eaf002"	"Bacon, Delia Salter"	"Tales of the puritans"	"New Haven [Conn.]"	"A. H. Maltby"	1831	"F"	0	"White"	"Education"	"Teacher"	"OH"	"CT"	"CT"	1811	1859	70010
"eaf003"	"Bacon, Delia Salter"	"Love's martyr"	"Cincinnati"	"Printed by E. Morgan and Co."	1838	"F"	0	"White"	"Education"	"Teacher"	"OH"	"CT"	"CT"	1811	1859	13547
"eaf004"	"Bacon, Delia Salter"	"The bride of Fort Edward"	"New York"	"Samuel Colman"	1839	"F"	0	"White"	"Education"	"Teacher"	"OH"	"CT"	"CT"	1811	1859	34309
"eaf005"	"Belknap, Jeremy"	"The foresters"	"Boston"	"Printed by I. Thomas and E. T. Andrews"	1792	"M"	0	"White"	"Church"	"Minister"	"MA"	"NH"	"MA"	1744	1798	33731
"eaf006"	"Bennett, Emerson"	"The bandits of the Osage"	"Cincinnati"	"Robinson & Jones"	1847	"M"	0	"White"	"Writer"	"Writer"	"MA"	"NY"	"PA"	1822	1905	104654
"eaf007"	"Bennett, Emerson"	"Kate Clarendon, or, Necromancy in the wilderness"	"Cincinnati"	"Stratton and Barnard"	1848	"M"	0	"White"	"Writer"	"Writer"	"MA"	"NY"	"PA"	1822	1905	71261
"eaf008"	"Bennett, Emerson"	"The renegade"	"Cincinnati"	"Robinson & Jones"	1848	"M"	0	"White"	"Writer"	"Writer"	"MA"	"NY"	"PA"	1822	1905	82322
"eaf009"	"Bennett, Emerson"	"The trapper's bride, or, Spirit of adventure"	"Cincinnati"	"Stratton & Barnard"	1848	"M"	0	"White"	"Writer"	"Writer"	"MA"	"NY"	"PA"	1822	1905	113704
"eaf011"	"Bennett, Emerson"	"Oliver Goldfinch, or, The hypocrite"	"Cincinnati"	"Stratton & Barnard"	1850	"M"	0	"White"	"Writer"	"Writer"	"MA"	"NY"	"PA"	1822	1905	86799
"eaf012"	"Brackenridge, H. H. (Hugh Henry)"	"Modern chivalry, Vol. 4"	"Philadelphia"	"Johnson & Warner"	1815	"M"	0	"White"	"Law"	"Judge"	"Scotland"	"PA"	"PA"	1748	1816	70691
"eaf013v1"	"Bird, Robert Montgomery"	"Calavar, or, The knight of the conquest, Vol.1"	"Philadelphia"	"Carey, Lea & Blanchard"	1834	"M"	0	"White"	"Medicine"	"Doctor"	"DE"	"PA"	"PA"	1806	1854	84194
"eaf013v2"	"Bird, Robert Montgomery"	"Calavar, or, The knight of the conquest, Vol.2"	"Philadelphia"	"Carey, Lea & Blanchard"	1834	"M"	0	"White"	"Medicine"	"Doctor"	"DE"	"PA"	"PA"	1806	1854	98920
"eaf014v1"	"Bird, Robert Montgomery"	"The Hawks of Hawk-Hollow, I"	"Philadelphia"	"Carey, Lea & Blanchard"	1835	"M"	0	"White"	"Medicine"	"Doctor"	"DE"	"PA"	"PA"	1806	1854	79797
"eaf014v2"	"Bird, Robert Montgomery"	"The Hawks of Hawk-Hollow, II"	"Philadelphia"	"Carey, Lea & Blanchard"	1835	"M"	0	"White"	"Medicine"	"Doctor"	"DE"	"PA"	"PA"	1806	1854	72798
"eaf015v1"	"Bird, Robert Montgomery"	"The infidel, or, The fall of Mexico, Vol.1"	"Philadelphia"	"Carey, Lea & Blanchard"	1835	"M"	0	"White"	"Medicine"	"Doctor"	"DE"	"PA"	"PA"	1806	1854	72206
"eaf015v2"	"Bird, Robert Montgomery"	"The infidel, or, The fall of Mexico, Vol.2"	"Philadelphia"	"Carey, Lea & Blanchard"	1835	"M"	0	"White"	"Medicine"	"Doctor"	"DE"	"PA"	"PA"	1806	1854	63818
"eaf016v1"	"Bird, Robert Montgomery"	"Sheppard Lee, I"	"New York"	"Harper & Brothers"	1836	"M"	0	"White"	"Medicine"	"Doctor"	"DE"	"PA"	"PA"	1806	1854	67627
"eaf016v2"	"Bird, Robert Montgomery"	"Sheppard Lee, II"	"New York"	"Harper & Brothers"	1836	"M"	0	"White"	"Medicine"	"Doctor"	"DE"	"PA"	"PA"	1806	1854	68421
"eaf017v1"	"Bird, Robert Montgomery"	"Nick of the woods, or, The Jibbenainosay, Vol.1"	"Philadelphia"	"Carey, Lea & Blanchard"	1837	"M"	0	"White"	"Medicine"	"Doctor"	"DE"	"PA"	"PA"	1806	1854	65559
"eaf017v2"	"Bird, Robert Montgomery"	"Nick of the woods, or, The Jibbenainosay, Vol.2"	"Philadelphia"	"Carey, Lea & Blanchard"	1837	"M"	0	"White"	"Medicine"	"Doctor"	"DE"	"PA"	"PA"	1806	1854	69457
"eaf018v1"	"Bird, Robert Montgomery"	"Peter Pilgrim, or, A rambler's recollections, Vol.1"	"Philadelphia"	"Lea & Blanchard"	1838	"M"	0	"White"	"Medicine"	"Doctor"	"DE"	"PA"	"PA"	1806	1854	46734
"eaf018v2"	"Bird, Robert Montgomery"	"Peter Pilgrim, or, A rambler's recollections, Vol.2"	"Philadelphia"	"Lea & Blanchard"	1838	"M"	0	"White"	"Medicine"	"Doctor"	"DE"	"PA"	"PA"	1806	1854	46545
"eaf019v1"	"Bird, Robert Montgomery"	"The adventures of Robin Day, Vol.1"	"Philadelphia"	"Lea & Blanchard"	1839	"M"	0	"White"	"Medicine"	"Doctor"	"DE"	"PA"	"PA"	1806	1854	67663
"eaf019v2"	"Bird, Robert Montgomery"	"The adventures of Robin Day, Vol.2"	"Philadelphia"	"Lea & Blanchard"	1839	"M"	0	"White"	"Medicine"	"Doctor"	"DE"	"PA"	"PA"	1806	1854	73187
"eaf020v1"	"Brackenridge, H. H. (Hugh Henry)"	"Modern chivalry, Vol.1"	"Philadelphia"	"Printed and sold by John M'Culloch, No. 1, North Third-Street"	1797	"M"	0	"White"	"Law"	"Judge"	"Scotland"	"PA"	"PA"	1748	1816	94379
"eaf020v2"	"Brackenridge, H. H. (Hugh Henry)"	"Modern chivalry, Vol.2"	"Philadelphia"	"Printed and sold by John M'Culloch, No. 1, North Third-Street"	1797	"M"	0	"White"	"Law"	"Judge"	"Scotland"	"PA"	"PA"	1748	1816	31674
"eaf022"	"Brackenridge, H. H. (Hugh Henry)"	"Modern chivalry, Vol.2"	"Carlisle, PA"	"Printed by Archibald Loudon"	1792	"M"	0	"White"	"Law"	"Judge"	"Scotland"	"PA"	"PA"	1748	1816	99457
"eaf023"	"Brainard, John G. C. (John Gardiner Calkins)"	"Letters found in the ruins of Fort Braddock, including an interesting American tale"	"New York"	"O. Wilder and J. M. Campbell"	1824	"M"	0	"White"	"Law"	"Lawyer"	"CT"	"CT"	"CT"	1796	1828	22967
"eaf024"	"Briggs, Charles F. (Charles Frederick)"	"Bankrupt stories"	"New York"	"John Allen"	1843	"M"	0	"White"	"Editor-Critic-Journalist"	"Journalist"	"MA"	"NY"	"NY"	1804	1877	122073
"eaf025v1"	"Briggs, Charles F. (Charles Frederick)"	"The adventures of Harry Franco, I"	"New York"	"F. Saunders"	1839	"M"	0	"White"	"Editor-Critic-Journalist"	"Journalist"	"MA"	"NY"	"NY"	1804	1877	60233
"eaf025v2"	"Briggs, Charles F. (Charles Frederick)"	"The adventures of Harry Franco, II"	"New York"	"F. Saunders"	1839	"M"	0	"White"	"Editor-Critic-Journalist"	"Journalist"	"MA"	"NY"	"NY"	1804	1877	55262
"eaf026"	"Brooks, Maria Gowen"	"Idomen, or, The vale of Yumuri"	"New York"	"Samuel Colman"	1843	"F"	0	"White"	"Writer"	"Poet"	"MA"	"MA"	"Cuba"	1794	1845	48844
"eaf027"	"Brown, Charles Brockden"	"Wieland, or, The transformation"	"New York"	"Printed by T. & J. Swords, for H. Caritat"	1798	"M"	0	"White"	"Education"	"Historian"	"PA"	"PA"	"PA"	1771	1810	85993
"eaf028v1"	"Brown, Charles Brockden"	"Edgar Huntly, or, Memoirs of a sleep-walker, Vol.1"	"Philadelphia"	"Printed by H. Maxwell, No. 3 Letitia court, and sold by Thomas Dobson, Asbury Dickins, and the principal booksellers"	1799	"M"	0	"White"	"Education"	"Historian"	"PA"	"PA"	"PA"	1771	1810	34107
"eaf028v2"	"Brown, Charles Brockden"	"Edgar Huntly, or, Memoirs of a sleep-walker, Vol.2"	"Philadelphia"	"Printed by H. Maxwell, No. 3 Letitia court, and sold by Thomas Dobson, Asbury Dickins, and the principal booksellers"	1799	"M"	0	"White"	"Education"	"Historian"	"PA"	"PA"	"PA"	1771	1810	34684
